CVE-2018-1000160;2018-04-18
CVE-2018-1176;2018-05-17
CVE-2018-11035;2018-05-14
CVE-2018-0262;2018-05-02
CVE-2018-10972;2018-05-10
CVE-2017-12714;2018-04-25
CVE-2018-11003;2018-05-12
CVE-2018-1280;2018-05-11
CVE-2018-10774;2018-05-07
CVE-2018-10253;2018-04-21
CVE-2018-10944;2018-05-14
CVE-2018-10208;2018-04-25
CVE-2018-10480;2018-05-17
CVE-2017-17833;2018-04-23
CVE-2018-11004;2018-05-12
CVE-2018-2416;2018-05-09
CVE-2018-3567;2018-05-17
CVE-2018-10989;2018-05-14
CVE-2018-9954;2018-05-17
CVE-2018-9035;2018-04-04
CVE-2018-7218;2018-05-17
CVE-2018-10230;2018-04-19
CVE-2018-0560;2018-04-16
CVE-2018-0258;2018-05-02
CVE-2018-8122;2018-05-09
CVE-2016-8383;2018-04-24
CVE-2018-1175;2018-05-17
CVE-2017-5536;2018-05-01
CVE-2018-9250;2018-05-18
CVE-2018-10832;2018-05-11
CVE-2018-10188;2018-04-19
CVE-2018-8165;2018-05-09
CVE-2018-9336;2018-05-01
CVE-2018-5508;2018-04-13
CVE-2018-10735;2018-05-16
CVE-2018-10767;2018-05-06
CVE-2018-9111;2018-05-10
CVE-2018-9939;2018-05-17
CVE-2017-2804;2018-04-24
CVE-2017-1743;2018-05-04
CVE-2018-9978;2018-05-17
CVE-2018-8150;2018-05-09
CVE-2018-4933;2018-05-19
CVE-2018-10795;2018-05-07
CVE-2018-9860;2018-04-12
CVE-2017-5175;2018-05-09
CVE-2018-9119;2018-04-04
CVE-2013-6272;2018-05-02
CVE-2018-10284;2018-04-21
CVE-2018-10538;2018-04-29
CVE-2018-9961;2018-05-17
CVE-2018-0297;2018-05-17
CVE-2009-5150;2018-05-11
CVE-2018-8912;2018-05-09
CVE-2018-0494;2018-05-06
CVE-2018-1239;2018-05-08
CVE-2009-5152;2018-05-11
CVE-2018-9949;2018-05-17
CVE-2018-10529;2018-04-29
CVE-2018-10752;2018-05-05
CVE-2018-0228;2018-04-19
CVE-2018-11319;2018-05-20
CVE-2018-10492;2018-05-17
CVE-2018-8152;2018-05-09
CVE-2018-10193;2018-04-18
CVE-2017-9284;2018-04-26
CVE-2018-10583;2018-05-01
CVE-2018-7244;2018-04-18
