CVE-2017-11461;2017-11-10
CVE-2016-8627;2018-05-11
CVE-2018-10571;2018-04-30
CVE-2018-10115;2018-05-02
CVE-2018-8865;2018-05-04
CVE-2004-2368;2004-12-31
CVE-1999-0603;1999-01-01
CVE-2004-1628;2004-10-23
CVE-2017-4930;2017-11-16
CVE-2014-0931;2018-04-20
CVE-2018-8867;2018-05-18
CVE-2018-9840;2018-04-10
CVE-2018-1292;2018-04-20
CVE-2004-1347;2004-08-10
CVE-2018-10119;2018-04-16
CVE-2017-14586;2017-11-27
CVE-1999-0559;1999-01-01
CVE-2018-6523;2018-02-02
CVE-2017-16608;2018-01-23
CVE-2018-6511;2018-05-08
CVE-2018-10723;2018-05-05
CVE-2018-6329;2018-03-14
CVE-2017-14480;2018-05-09
CVE-2018-9990;2018-04-18
CVE-2018-3851;2018-04-26
CVE-2005-1505;2005-05-11
CVE-1999-0530;1999-01-01
CVE-2018-6653;2018-03-01
CVE-2017-17253;2018-04-24
CVE-2017-14458;2018-04-23
CVE-2018-9113;2018-04-26
CVE-2017-14191;2018-03-20
CVE-2018-9845;2018-04-29
CVE-2018-0589;2018-05-14
CVE-2018-7651;2018-03-04
CVE-2018-3845;2018-04-26
CVE-2018-6304;2018-03-13
CVE-2017-15534;2018-03-26
CVE-2018-10683;2018-05-09
CVE-2005-3889;2005-11-29
CVE-2018-2417;2018-05-09
CVE-2018-1000178;2018-05-08
CVE-2018-10676;2018-05-02
CVE-2017-15357;2017-12-01
CVE-2017-17536;2017-12-11
CVE-2017-1545;2018-01-26
CVE-2018-10490;2018-05-17
CVE-2005-3800;2005-11-24
CVE-2017-14434;2018-05-14
CVE-2016-9645;2018-04-10
CVE-2015-5350;2018-03-19
CVE-2018-1172;2018-05-16
CVE-1999-0630;1999-01-01
CVE-2003-1064;2003-07-23
CVE-2018-10817;2018-05-09
CVE-2017-6152;2018-03-08
CVE-1999-0539;1999-01-01
CVE-2017-2709;2017-11-22
CVE-2018-1433;2018-05-17
CVE-2018-10749;2018-05-04
CVE-2004-2070;2004-12-31
CVE-2017-16768;2017-12-27
CVE-1999-0243;1999-01-01
CVE-2018-10074;2018-04-12
