labels,low,medium,high,total
410,0,9,1,10
411,1,3,3,7
412,1,2,2,5
413,1,3,0,4
414,0,2,3,5
415,1,3,0,4
416,0,1,0,1
417,0,4,5,9
419,2,4,2,8
420,0,1,4,5
421,0,3,0,3
422,3,5,3,11
423,2,1,2,5
424,1,4,7,12
425,0,3,1,4
426,0,8,1,9
427,1,8,3,12
428,1,6,1,8
429,0,0,4,4
430,0,4,2,6
431,0,2,2,4
432,0,2,0,2
433,0,1,0,1
434,1,2,2,5
435,0,2,1,3
436,0,3,2,5
437,0,3,3,6
438,0,2,1,3
439,0,2,3,5
440,1,5,5,11
441,2,2,1,5
442,1,0,0,1
443,0,3,3,6
444,2,0,1,3
445,1,3,1,5
446,0,3,3,6
447,1,3,0,4
448,0,7,6,13
449,0,2,2,4
450,1,5,1,7
451,0,5,3,8
452,0,0,3,3
453,0,4,3,7
454,0,4,1,5
455,0,7,1,8
456,0,2,2,4
457,0,4,3,7
458,3,7,3,13
459,0,4,3,7
460,1,1,1,3
461,0,0,2,2
462,0,4,1,5
463,1,1,1,3
464,1,3,0,4
465,2,0,0,2
466,0,1,1,2
467,0,1,1,2
468,2,1,0,3
469,0,1,0,1
470,0,1,2,3
471,0,1,0,1
472,0,0,2,2
474,1,0,0,1
475,1,3,2,6
476,0,2,2,4
478,2,1,1,4
479,0,2,1,3
480,0,0,1,1
481,1,5,2,8
482,1,4,2,7
483,0,2,4,6
484,0,1,5,6
485,0,1,4,5
486,2,3,7,12
487,0,2,2,4
488,0,0,0,0
489,0,1,1,2
490,1,5,3,9
491,0,2,0,2
492,0,2,1,3
493,0,0,1,1
494,0,1,0,1
495,0,4,1,5
496,0,0,1,1
497,0,1,1,2
498,1,3,5,9
499,3,0,0,3
500,0,0,1,1
501,0,0,4,4
502,0,1,0,1
503,0,2,1,3
504,2,6,2,10
505,1,1,0,2
506,0,6,1,7
507,0,1,3,4
508,1,1,1,3
509,1,1,3,5
510,0,3,0,3
511,1,3,2,6
512,0,3,4,7
513,0,3,4,7
514,0,3,1,4
515,1,0,1,2
516,0,5,0,5
517,0,6,0,6
519,0,5,2,7
520,0,1,0,1
521,0,1,0,1
522,3,6,3,12
523,0,2,2,4
524,0,1,1,2
525,0,2,2,4
526,0,1,0,1
527,0,2,0,2
528,2,1,0,3
529,0,2,2,4
530,0,1,0,1
531,0,0,1,1
532,3,2,1,6
533,0,0,1,1
535,0,3,0,3
536,0,1,0,1
537,1,0,1,2
538,1,2,0,3
539,0,1,1,2
540,0,3,0,3
541,0,1,0,1
542,0,1,2,3
543,0,5,1,6
544,0,4,0,4
545,0,1,1,2
546,0,4,2,6
547,0,4,2,6
548,0,2,1,3
549,0,1,0,1
550,0,2,0,2
551,0,1,1,2
552,0,1,1,2
553,1,0,1,2
554,0,1,0,1
555,0,1,1,2
557,1,1,0,2
558,0,0,2,2
559,0,5,0,5
560,0,2,3,5
561,0,3,2,5
563,0,1,0,1
564,0,0,1,1
567,2,5,0,7
568,0,0,1,1
569,0,0,1,1
570,0,0,1,1
571,0,0,1,1
572,0,1,1,2
573,0,1,0,1
574,0,1,0,1
575,0,2,1,3
576,1,0,2,3
577,0,2,0,2
