labels,low,medium,high,total
53,0.12751100541415777,0.8692506198451652,0.603282227731957,0.8733145186578865
54,0.12771340383545007,0.8703469446271652,0.6039400226011571,0.874375149871802
55,0.1279158022567424,0.8714095363389499,0.604597817470357,0.8754173353254754
56,0.1281182006780347,0.8724721280507345,0.605255612339557,0.8764318521387859
57,0.12830373256421934,0.8735009866923038,0.6058965406736494,0.8774371460719753
58,0.12848926445040396,0.874529845333873,0.6065206024726341,0.8784239942449228
59,0.12867479633658857,0.8755587039754423,0.607127797736511,0.8794108424178703
60,0.12886032822277318,0.8765875626170115,0.6077181264652802,0.8803884677106967
61,0.12904586010895783,0.8775995547234732,0.6082915886589418,0.8813660930035231
62,0.12923139199514244,0.8786115468299347,0.6088650508526033,0.8823344954162285
63,0.12941692388132706,0.8796235389363963,0.609438513046265,0.883302897828934
64,0.12960245576751167,0.8806355310428579,0.6100119752399265,0.8842713002416395
65,0.1297879876536963,0.8816306566142117,0.6105854374335881,0.8852397026543449
66,0.12997351953988093,0.882608915650458,0.6111588996272496,0.8861988821869293
67,0.13015905142606554,0.8835871746867041,0.6117323618209112,0.8871488388393928
68,0.13032771677714247,0.8845317006527349,0.612288957479465,0.8880803497316142
69,0.1304963821282194,0.8854762266187657,0.6128455531380188,0.8889657462232305
70,0.13066504747929633,0.8864038860496888,0.6134021487965727,0.8898419198347259
71,0.13083371283037326,0.8873146789455042,0.6139587444551265,0.8906996476859794
72,0.1310023781814502,0.8882086053062119,0.6145153401136805,0.8915573755372328
73,0.1311541769974194,0.8890687985967043,0.6150550692371266,0.8924151033884862
74,0.13130597581338865,0.889912125352089,0.6155947983605727,0.8932728312397396
75,0.1314577746293579,0.8907554521074735,0.616134527484019,0.8941305590909929
76,0.13160957344532712,0.8915987788628582,0.6166742566074651,0.8949882869422463
77,0.13176137226129636,0.8924252390831352,0.6172139857309114,0.8958183461531367
78,0.1319131710772656,0.8932179662331967,0.6177537148543575,0.8966484053640271
79,0.13206496989323482,0.8939938268481505,0.6182934439778036,0.8974692416947965
80,0.13221676870920407,0.8947528209279968,0.6188163065661422,0.8982808551454449
81,0.1323517009900656,0.8954949484727353,0.6193223026193729,0.8990832457159722
82,0.13248663327092716,0.8962370760174737,0.6198282986726037,0.8998671905262575
83,0.1326215655517887,0.8969792035622122,0.6203342947258345,0.9006234666961799
84,0.13275649783265023,0.8977213311069507,0.6208402907790652,0.9013705199859812
85,0.1328914301135118,0.8984297255814738,0.6213462868322961,0.9021175732757826
86,0.13302636239437332,0.8991381200559969,0.6218354163504192,0.9028554036854629
87,0.13316129467523485,0.8998296479954123,0.6222908127983269,0.9035840112150222
88,0.13329622695609641,0.9005211759348277,0.6227462092462346,0.9042941729843396
89,0.13341429270185026,0.9012127038742431,0.6232016056941423,0.9050043347536568
90,0.1335323584476041,0.9019042318136585,0.6236401356069423,0.9057144965229742
91,0.13365042419335796,0.9025788932179662,0.6240786655197422,0.9064246582922915
92,0.1337684899391118,0.903253554622274,0.6245171954325422,0.9071255971814879
93,0.13388655568486565,0.903911349491474,0.6249557253453423,0.9077988674303211
94,0.1340046214306195,0.904569144360674,0.6253773887230346,0.9084444690387914
95,0.13412268717637335,0.9052100726947663,0.6257821855656193,0.9090808477671407
96,0.1342407529221272,0.9058510010288586,0.6261869824082039,0.909698780735248
97,0.13435881866788105,0.9064750628278433,0.6265917792507885,0.9102982679431133
98,0.1344768844136349,0.9070822580917203,0.6269965760933731,0.9108977551509786
99,0.13459495015938874,0.9076725868204895,0.6273845064008501,0.9114880194787228
100,0.13471301590514262,0.9082629155492588,0.627772436708327,0.912078283806467
101,0.13483108165089647,0.9088363777429203,0.6281435004806962,0.9126408794938483
102,0.1349322808615426,0.9094098399365819,0.6285145642530655,0.9132034751812296
103,0.13503348007218877,0.9099833021302434,0.6288856280254347,0.9137568479884899
104,0.13513467928283493,0.9105398977887973,0.629256691797804,0.9143009979156291
105,0.1352358784934811,0.9110964934473511,0.6296108890350656,0.9148359249626473
106,0.13533707770412723,0.9116530891059049,0.6299650862723271,0.9153708520096656
107,0.1354382769147734,0.9122096847644589,0.630302416974481,0.9158965561765628
108,0.13553947612541956,0.912749413887905,0.6306397476766348,0.916413037463339
109,0.13564067533606572,0.9132891430113512,0.6309770783787887,0.9169295187501153
110,0.13574187454671188,0.9138288721347974,0.6313144090809425,0.9174367771567705
111,0.13584307375735802,0.9143686012582435,0.6316517397830964,0.9179348126833048
