CVE-1999-0236;1997-01-01;;
CVE-1999-0237;1997-09-01;;
CVE-1999-0238;1997-08-01;;
CVE-1999-0240;1999-01-01;;
CVE-1999-0241;1995-11-01;;
CVE-1999-0242;1995-03-01;;
CVE-1999-0243;1999-01-01;;
CVE-1999-0244;1997-12-01;;
CVE-1999-0245;1995-09-07;;
CVE-1999-0246;1996-10-01;;
CVE-1999-0249;1997-01-01;;
CVE-1999-0251;1997-01-01;;
CVE-1999-0252;1997-01-01;;
CVE-1999-0253;1997-01-01;;
CVE-1999-0254;1998-11-02;;
CVE-1999-0255;1999-01-01;;
CVE-1999-0257;1998-04-01;;
CVE-1999-0258;1998-02-13;;
CVE-1999-0259;1997-05-23;;
CVE-1999-0260;1996-12-24;;
CVE-1999-0264;1998-01-27;;
CVE-1999-0267;1997-09-23;;
CVE-1999-0269;1998-08-01;;
CVE-1999-0271;1998-01-15;;
CVE-1999-0272;1997-10-01;;
CVE-1999-0273;1998-01-01;;
CVE-1999-0274;1997-01-01;;
CVE-1999-0275;1997-06-10;;
CVE-1999-0276;1999-01-01;;
CVE-1999-0277;1996-10-28;;
CVE-1999-0279;1998-01-01;;
CVE-1999-0280;1997-04-01;;
CVE-1999-0281;1997-06-01;;
CVE-1999-0284;1998-01-01;;
CVE-1999-0285;1999-01-01;;
CVE-1999-0286;1999-01-01;;
CVE-1999-0287;1999-04-09;;
CVE-1999-0289;1999-12-12;;
CVE-1999-0290;1998-02-21;;
CVE-1999-0291;1999-02-01;;
CVE-1999-0292;1997-04-01;;
CVE-1999-0293;1998-01-01;;
CVE-1999-0294;1997-10-01;;
CVE-1999-0297;1996-12-12;;
CVE-1999-0303;1998-05-21;;
CVE-1999-0304;1998-02-01;;
CVE-1999-0306;1997-11-04;;
CVE-1999-0307;2000-12-20;;
CVE-1999-0310;1998-09-01;;
CVE-1999-0312;1993-01-13;;
CVE-1999-0316;1995-12-01;;
CVE-1999-0317;1999-11-25;;
CVE-1999-0318;1997-03-01;;
CVE-1999-0319;1996-10-01;;
CVE-1999-0321;1998-12-01;;
CVE-1999-0330;1998-03-01;;
CVE-1999-0331;1998-01-01;;
CVE-1999-0333;1998-08-01;;
CVE-1999-0334;1993-12-16;;
CVE-1999-0335;1996-08-01;;
CVE-1999-0336;1996-11-01;;
CVE-1999-0337;1994-06-03;;
CVE-1999-0338;1994-02-24;;
CVE-1999-0339;1998-08-01;;
CVE-1999-0340;1997-12-01;;
CVE-1999-0341;1998-01-01;;
CVE-1999-0342;1998-12-01;;
CVE-1999-0343;1998-10-02;;
CVE-1999-0345;1997-01-01;;
CVE-1999-0350;1999-02-08;;
CVE-1999-0352;1999-01-25;;
CVE-1999-0355;1999-01-01;;
CVE-1999-0356;1999-01-25;;
CVE-1999-0357;1999-01-25;;
CVE-1999-0359;2001-03-12;;
CVE-1999-0361;1999-01-01;;
CVE-1999-0365;1999-02-04;;
CVE-1999-0368;1999-02-09;;
CVE-1999-0371;1999-02-11;;
CVE-1999-0373;1999-02-01;;
CVE-1999-0374;1999-02-16;;
CVE-1999-0375;1999-02-16;;
CVE-1999-0391;1999-01-05;;
CVE-1999-0392;1999-01-10;;
CVE-1999-0394;1999-01-01;;
CVE-1999-0396;1999-02-17;;
CVE-1999-0397;1999-01-01;;
CVE-1999-0398;1999-01-01;;
CVE-1999-0399;1999-01-01;;
CVE-1999-0401;1999-01-01;;
CVE-1999-0402;1999-01-02;;
CVE-1999-0404;1999-02-14;;
CVE-1999-0406;1999-02-19;;
CVE-1999-0411;1999-03-07;;
CVE-1999-0414;1999-03-01;;
CVE-1999-0419;1999-03-01;;
CVE-1999-0420;1999-03-17;;
CVE-1999-0422;1999-03-17;;
CVE-1999-0424;1999-03-18;;
CVE-1999-0425;1999-03-18;;
CVE-1999-0426;1999-03-01;;
CVE-1999-0427;2000-05-01;;
CVE-1999-0431;1999-03-01;;
CVE-1999-0433;1999-03-21;;
CVE-1999-0435;1999-03-01;;
CVE-1999-0437;1999-03-01;;
CVE-1999-0438;1999-03-01;;
CVE-1999-0439;1999-04-05;;
CVE-1999-0444;1999-04-12;;
CVE-1999-0448;1999-01-01;;
CVE-1999-0452;1999-01-01;;
CVE-1999-0453;1999-01-01;;
CVE-1999-0454;1999-01-01;;
CVE-1999-0459;1999-02-01;;
CVE-1999-0461;1999-01-28;;
CVE-1999-0465;1999-01-01;;
CVE-1999-0467;1999-04-01;;
CVE-1999-0469;1999-04-01;;
CVE-1999-0471;1999-04-09;;
CVE-1999-0472;1999-04-07;;
CVE-1999-0474;1999-04-05;;
CVE-1999-0475;1999-04-05;;
CVE-1999-0476;1999-03-01;;
CVE-1999-0480;1999-04-01;;
CVE-1999-0486;1998-02-01;;
CVE-1999-0492;1999-04-23;;
CVE-1999-0494;1998-07-01;;
CVE-1999-0495;1999-01-01;;
CVE-1999-0497;1999-01-01;;
CVE-1999-0498;1991-09-27;;
CVE-1999-0499;1997-01-01;;
CVE-1999-0501;1998-06-01;;
CVE-1999-0502;1998-03-01;;
CVE-1999-0503;1997-01-01;;
CVE-1999-0504;1997-01-01;;
CVE-1999-0505;1998-10-01;;
CVE-1999-0506;1998-10-01;;
CVE-1999-0507;1998-04-01;;
CVE-1999-0508;1998-06-01;;
CVE-1999-0509;1996-05-29;;
CVE-1999-0510;1997-01-01;;
CVE-1999-0511;1997-01-01;;
CVE-1999-0512;1999-01-01;;
CVE-1999-0513;1998-01-05;;
CVE-1999-0514;1998-03-01;;
CVE-1999-0515;1999-01-01;;
CVE-1999-0516;1998-08-01;;
CVE-1999-0517;1997-01-01;;
CVE-1999-0518;1997-01-01;;
CVE-1999-0519;1997-01-01;;
CVE-1999-0520;1999-01-01;;
CVE-1999-0521;1997-01-01;;
CVE-1999-0522;1996-05-28;;
CVE-1999-0523;1999-01-01;;
CVE-1999-0525;1997-01-01;;
CVE-1999-0527;1999-01-01;;
CVE-1999-0528;1999-01-01;;
CVE-1999-0529;1999-01-01;;
CVE-1999-0530;1999-01-01;;
CVE-1999-0532;1997-07-01;;
CVE-1999-0533;1997-07-01;;
CVE-1999-0534;1997-01-01;;
CVE-1999-0535;1997-01-01;;
CVE-1999-0537;1998-04-01;;
CVE-1999-0539;1999-01-01;;
CVE-1999-0541;1997-07-01;;
CVE-1999-0546;1998-10-01;;
CVE-1999-0547;1999-01-01;;
CVE-1999-0548;1999-01-01;;
CVE-1999-0549;1999-01-01;;
CVE-1999-0550;1997-01-01;;
CVE-1999-0554;1999-01-01;;
CVE-1999-0555;1999-01-01;;
CVE-1999-0556;1999-01-01;;
CVE-1999-0559;1999-01-01;;
CVE-1999-0560;1999-01-01;;
CVE-1999-0561;1999-01-01;;
CVE-1999-0564;1999-01-01;;
CVE-1999-0565;1999-01-01;;
CVE-1999-0566;1997-08-01;;
CVE-1999-0568;1999-01-01;;
CVE-1999-0569;1999-01-01;;
