CWE-362,CWE-189;2;0;1;1;0
NVD-CWE-noinfo,CWE-89;4;3;0;1;0
NVD-CWE-noinfo,CWE-310;4;2;1;1;0
CWE-426;513;6;495;10;1
CWE-20,CWE-59;1;0;1;0;0
CWE-384;97;13;48;27;7
CWE-399,CWE-416;78;2;76;0;0
set();1279;0;0;0;0
CWE-138;2;0;2;0;0
CWE-20,CWE-476;5;0;2;3;0
CWE-200,NVD-CWE-noinfo;25;1;13;11;0
CWE-416;1132;495;542;95;0
CWE-362,CWE-264;20;0;18;2;0
CWE-254;541;75;202;246;18
CWE-125;1012;91;421;492;8
CWE-77,CWE-138;31;14;17;0;0
CWE-704;127;6;117;3;1
CWE-284,CWE-20;11;2;4;5;0
CWE-90;10;5;2;2;1
CWE-190;878;108;689;80;1
CWE-284;2276;292;1038;879;66
CWE-601;260;0;85;175;0
CWE-20,CWE-93;2;0;2;0;0
CWE-94,CWE-416;2;0;2;0;0
CWE-665;11;1;4;6;0
CWE-310,CWE-264;2;1;1;0;0
CWE-415;140;41;71;28;0
CWE-754;17;0;15;2;0
CWE-703;1;0;1;0;0
CWE-119,CWE-121;18;11;5;2;0
CWE-116;7;2;4;1;0
CWE-77;401;141;229;31;0
CWE-189,CWE-264;5;0;4;1;0
CWE-507,CWE-264;2;1;1;0;0
CWE-59,CWE-264;4;0;3;1;0
CWE-824;16;5;9;2;0
CWE-371;3;0;2;1;0
CWE-399,CWE-415;6;0;5;1;0
CWE-699,CWE-17;172;37;77;58;0
CWE-20,CWE-507;2;1;1;0;0
CWE-611;350;102;165;79;4
CWE-287,NVD-CWE-noinfo;11;6;4;1;0
CWE-426,CWE-264;2;0;2;0;0
CWE-94,CWE-184;1;0;1;0;0
CWE-255,CWE-352;2;1;1;0;0
CWE-16,CWE-89;1;0;1;0;0
CWE-399,CWE-699,CWE-17;2;0;0;2;0
CWE-369;82;1;14;67;0
CWE-388;46;12;16;18;0
CWE-833;1;1;0;0;0
CWE-798;186;126;46;13;1
